playerID,homeAway,name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,FanduelNumber,InitPlayerName,InitPlayerID,AtTeam
73162,Home,Deyonta Davis,18721-66129,PF,Deyonta,Deyonta Davis,Davis,4.611428397,35,3500,DAL@MEM,MEM,DAL,,,66129,Jonas Jerebko,1623,@MEM
9304,Home,James McAdoo,18721-15955,PF,James Michael,James Michael McAdoo,McAdoo,6.480392157,51,3500,LAL@GS,GS,LAL,,,15955,Marcus Georges-Hunt,24663,@GS
2175,Home,Tyler Zeller,18721-15961,C,Tyler,Tyler Zeller,Zeller,8.367999878,50,3500,MIL@BOS,BOS,MIL,,,15961,Chinanu Onuaku,54847,@BOS
24744,Home,Patricio Garino,18721-23134,SG,Patricio,Patricio Garino,Garino,1.850000024,4,3500,DET@ORL,ORL,DET,,,23134,Demetrius Jackson,43395,@ORL
8530,Away,Matt Dellavedova,18721-20064,PG,Matthew,Matthew Dellavedova,Dellavedova,16.58815725,76,3500,MIL@BOS,MIL,BOS,O,Rest,20064,Justin Harper,10687,@MIL
26729,Home,Semaj Christon,18721-23148,PG,Semaj,Semaj Christon,Christon,7.977777875,63,3500,DEN@OKC,OKC,DEN,,,23148,Alexis Ajinca,775,@OKC
42429,Home,Georges Niang,18721-23156,SF,Georges,Georges Niang,Niang,2.169565284,23,3500,ATL@IND,IND,ATL,,,23156,Troy Williams,24319,@IND
81426,Away,Pascal Siakam,18721-60021,PF,Pascal,Pascal Siakam,Siakam,10.4537037,54,3500,TOR@CLE,TOR,CLE,,,60021,Boban Marjanovic,2413,@TOR
354,Home,Gerald Green,18721-9849,SG,Gerald,Gerald Green,Green,8.556521872,46,3500,MIL@BOS,BOS,MIL,,,9849,Pierre Jackson,28285,@BOS
28228,Away,Mirza Teletovic,18721-23178,SF,Mirza,Mirza Teletovic,Teletovic,10.38840562,69,3500,MIL@BOS,MIL,BOS,,,23178,Kris Dunn,28240,@MIL
24763,Home,Mario Hezonja,18721-63123,SG,Mario,Mario Hezonja,Hezonja,9.2421875,64,3500,DET@ORL,ORL,DET,,,63123,Dejounte Murray,73136,@ORL
45041,Home,Joel Bolomboy,18721-23189,PF,Joel,Joel Bolomboy,Bolomboy,4.116666794,12,3500,SA@UTA,UTA,SA,,,23189,Rashad Vaughn,42082,@UTA
97,Away,Steve Novak,18721-9895,SF,Steve,Steve Novak,Novak,1.075000048,8,3500,MIL@BOS,MIL,BOS,,,9895,Stanley Johnson,26756,@MIL
24306,Home,Andrew Harrison,18721-42665,PG,Andrew,Andrew Harrison,Harrison,13.06901443,71,3500,DAL@MEM,MEM,DAL,,,42665,Wade Baldwin IV,81056,@MEM
24681,Home,James Young,18721-42671,SF,James,James Young,Young,4.435714177,28,3500,MIL@BOS,BOS,MIL,,,42671,Kay Felder,57281,@BOS
9729,Home,Mindaugas Kuzminskas,18721-71345,SF,Mindaugas,Mindaugas Kuzminskas,Kuzminskas,10.37164216,67,3500,PHI@NY,NY,PHI,,,71345,Boris Diaw,459,@NY
24644,Home,Terry Rozier,18721-42677,PG,Terry,Terry Rozier,Rozier,12.89315085,73,3500,MIL@BOS,BOS,MIL,,,42677,Tiago Splitter,373,@BOS
44094,Away,Fred VanVleet,18721-24247,PG,Fred,Fred VanVleet,VanVleet,5.947222392,36,3500,TOR@CLE,TOR,CLE,,,24247,Jose Calderon,794,@TOR
328,Away,Anthony Tolliver,18721-9920,PF,Anthony,Anthony Tolliver,Tolliver,13.8125,64,3500,SAC@LAC,SAC,LAC,,,9920,K.J. McDaniels,28823,@SAC
3977,Away,Tim Frazier,18721-16071,SG,Tim,Tim Frazier,Frazier,18.42063492,63,3500,NO@POR,NO,POR,,,16071,Jeff Withey,4518,@NO
45,Home,Brandan Wright,18721-9935,C,Brandan,Brandan Wright,Wright,12.77036992,27,3500,DAL@MEM,MEM,DAL,,,9935,Tyus Jones,26752,@MEM
1650,Away,Dante Cunningham,18721-9940,SF,Dante,Dante Cunningham,Cunningham,13.93437481,64,3500,NO@POR,NO,POR,,,9940,Luis Scola,181,@NO
6235,Away,Lamar Patterson,18721-16089,SG,Lamar,Lamar Patterson,Patterson,4.879999924,5,3500,ATL@IND,ATL,IND,,,16089,Dragan Bender,41582,@ATL
1606,Away,Gerald Henderson,18721-9951,SG,Gerald,Gerald Henderson,Henderson,15.31690141,71,3500,PHI@NY,PHI,NY,,,9951,Quinn Cook,24179,@PHI
26752,Away,Tyus Jones,18721-58081,PG,Tyus,Tyus Jones,Jones,9.39152501,59,3500,MIN@HOU,MIN,HOU,,,58081,Patrick McCaw,80940,@MIN
1634,Away,Marcus Thornton,18721-9955,SG,Marcus,Marcus Thornton,Thornton,11.83939431,33,3500,BKN@CHI,BKN,CHI,,,9955,Jakob Poeltl,53231,@BKN
1620,Home,Wayne Ellington,18721-9956,SG,Wayne,Wayne Ellington,Ellington,15.39836046,61,3500,WAS@MIA,MIA,WAS,,,9956,Brian Roberts,1806,@MIA
1618,Away,Omri Casspi,18721-9960,PF,Omri,Omri Casspi,Casspi,11.09428537,35,3500,MIN@HOU,MIN,HOU,,,9960,Metta World Peace,540,@MIN
24294,Away,A.J. Hammons,18721-23273,C,A.J.,A.J. Hammons,Hammons,5.025,20,3500,DAL@MEM,DAL,MEM,,,23273,Semaj Christon,26729,@DAL
1623,Home,Jonas Jerebko,18721-9962,PF,Jonas,Jonas Jerebko,Jerebko,10.05844156,77,3500,MIL@BOS,BOS,MIL,,,9962,Pat Connaughton,24234,@BOS
1644,Home,Jodie Meeks,18721-9968,SG,Jodie,Jodie Meeks,Meeks,14.72571498,35,3500,DET@ORL,ORL,DET,,,9968,Jordan McRae,9345,@ORL
28239,Home,Sam Dekker,18721-23282,SF,Sam,Sam Dekker,Dekker,13.45194869,77,3500,MIN@HOU,HOU,MIN,O,Hand,23282,Mike Scott,3753,@HOU
24662,Away,Danuel House,18721-23294,SF,Danuel,Danuel House,House,1.200000048,1,3500,WAS@MIA,WAS,MIA,,,23294,Malachi Richardson,49322,@WAS
39662,Away,Edy Tavares,18721-55063,C,Edy,Edy Tavares,Tavares,3.200000048,1,3500,ATL@IND,ATL,IND,,,55063,Malik Beasley,73131,@ATL
2301,Away,Malcolm Delaney,18721-71467,PG,Malcolm,Malcolm Delaney,Delaney,11.00277795,72,3500,ATL@IND,ATL,IND,,,71467,Paul Pierce,566,@ATL
10776,Home,Willie Reed,18721-34615,C,Willie,Willie Reed,Reed,12.71714303,70,3500,WAS@MIA,MIA,WAS,,,34615,Jarrod Uthoff,24236,@MIA
6998,Home,Anthony Brown,18721-16188,SF,Anthony,Anthony Brown,Brown,9.145454407,11,3500,DET@ORL,ORL,DET,,,16188,Norris Cole,15435,@ORL
23259,Home,Josh Huestis,18721-16191,SF,Josh,Josh Huestis,Huestis,13.30000019,1,3500,DEN@OKC,OKC,DEN,,,16191,Lavoy Allen,9730,@OKC
10813,Away,Andrew Nicholson,18721-17218,PF,Andrew,Andrew Nicholson,Nicholson,5.545945863,37,3500,BKN@CHI,BKN,CHI,,,17218,Sasha Vujacic,393,@BKN
24199,Home,Chasson Randle,18721-16197,PG,Chasson,Chasson Randle,Randle,8.695999756,25,3500,PHI@NY,NY,PHI,,,16197,Anthony Bennett,24660,@NY
24158,Home,Michael Carter-Williams,18721-16201,PG,Michael,Michael Carter-Williams,Carter-Williams,15.96818126,44,3500,BKN@CHI,CHI,BKN,,,16201,Quincy Pondexter,2317,@CHI
24156,Home,Rakeem Christmas,18721-16202,C,Rakeem,Rakeem Christmas,Christmas,4.903448171,29,3500,ATL@IND,IND,ATL,,,16202,Wesley Johnson,4081,@IND
23478,Home,Doug McDermott,18721-18256,SF,Doug,Doug McDermott,McDermott,13.51212103,66,3500,DEN@OKC,OKC,DEN,O,Knee,18256,Omer Asik,807,@OKC
9345,Home,Jordan McRae,18721-16230,SG,Jordan,Jordan McRae,McRae,6.829729647,37,3500,TOR@CLE,CLE,TOR,,,16230,Miles Plumlee,3654,@CLE
41442,Home,Jarell Martin,18721-40819,PF,Jarell,Jarell Martin,Martin,9.395122249,41,3500,DAL@MEM,MEM,DAL,,,40819,James Jones,477,@MEM
24189,Away,Sheldon McClellan,18721-16246,SG,Sheldon,Sheldon McClellan,McClellan,5.086206897,29,3500,WAS@MIA,WAS,MIA,,,16246,Chris Andersen,866,@WAS
80300,Away,Ben Bentil,18721-58237,PF,Ben,Ben Bentil,Bentil,0.4666666587,3,3500,DAL@MEM,DAL,MEM,,,58237,Damian Jones,42379,@DAL
56842,Away,Delon Wright,18721-40830,PG,Delon,Delon Wright,Wright,12.6807697,26,3500,TOR@CLE,TOR,CLE,,,40830,Darrun Hilliard,28956,@TOR
54842,Away,Henry Ellenson,18721-66455,PF,Henry,Henry Ellenson,Ellenson,5,18,3500,DET@ORL,DET,ORL,,,66455,Tomas Satoransky,24374,@DET
24195,Away,Norman Powell,18721-16293,SG,Norman,Norman Powell,Powell,13.21866699,75,3500,TOR@CLE,TOR,CLE,,,16293,Salah Mejri,24116,@TOR
28991,Away,Dewayne Dedmon,18721-16301,C,Dewayne,Dewayne Dedmon,Dedmon,15.64799967,75,3500,SA@UTA,SA,UTA,,,16301,Maurice Ndour,57363,@SA
5962,Home,Festus Ezeli,18721-16331,C,Festus,Festus Ezeli,Ezeli,16.91304348,46,3500,NO@POR,POR,NO,O,Knee,16331,Kyle Anderson,24265,@POR
24687,Home,Wayne Selden Jr.,18721-49115,SG,Wayne,Wayne Selden Jr.,Selden Jr.,7.692307692,13,3500,DAL@MEM,MEM,DAL,,,49115,Kevon Looney,41494,@MEM
28956,Away,Darrun Hilliard,18721-16348,SG,Darrun,Darrun Hilliard,Hilliard,5.436842266,38,3500,DET@ORL,DET,ORL,,,16348,James McAdoo,9304,@DET
33381,Home,Domas Sabonis,18721-59358,PF,Domantas,Domantas Sabonis,Sabonis,12.475,80,3500,DEN@OKC,OKC,DEN,,,59358,Raulzinho Neto,24092,@OKC
44077,Home,Denzel Valentine,18721-24546,SG,Denzel,Denzel Valentine,Valentine,10.37142835,56,3500,BKN@CHI,CHI,BKN,,,24546,Jordan Mickey,28236,@CHI
23549,Away,Joe Harris,18721-16363,SG,Joe,Joe Harris,Harris,13.58461585,52,3500,BKN@CHI,BKN,CHI,O,Shoulder,16363,Gary Payton II,80992,@BKN
26756,Away,Stanley Johnson,18721-58350,SF,Stanley,Stanley Johnson,Johnson,10.6723681,76,3500,DET@ORL,DET,ORL,,,58350,Jake Layman,41248,@DET
24840,Home,Cristiano Felicio,18721-63478,C,Cristiano,Cristiano Felicio,Felicio,12.15230807,65,3500,BKN@CHI,CHI,BKN,,,63478,Briante Weber,31267,@CHI
,Away,,,,,,,,,,,,,,,#VALUE!,Andrew Bogut,58,@
,Away,,,,,,,,,,,,,,,#VALUE!,Marcelinho Huertas,2707,@
,Away,,,,,,,,,,,,,,,#VALUE!,Jared Sullinger,2375,@
,Away,,,,,,,,,,,,,,,#VALUE!,Okaro White,9344,@
,Away,,,,,,,,,,,,,,,#VALUE!,Fred VanVleet,44094,@
,Away,,,,,,,,,,,,,,,#VALUE!,Bryn Forbes,42884,@
,Away,,,,,,,,,,,,,,,#VALUE!,Rakeem Christmas,24156,@
,Away,,,,,,,,,,,,,,,#VALUE!,Tim Quarterman,56701,@
,Away,,,,,,,,,,,,,,,#VALUE!,Marshall Plumlee,24177,@
,Away,,,,,,,,,,,,,,,#VALUE!,Johnny O'Bryant,24170,@
,Away,,,,,,,,,,,,,,,#VALUE!,Bobby Brown,862,@
,Away,,,,,,,,,,,,,,,#VALUE!,Jarnell Stokes,24264,@
,Away,,,,,,,,,,,,,,,#VALUE!,Brice Johnson,24658,@
,Away,,,,,,,,,,,,,,,#VALUE!,DeAndre Liggins,5713,@
,Away,,,,,,,,,,,,,,,#VALUE!,Kyle Singler,2151,@
,Away,,,,,,,,,,,,,,,#VALUE!,Damjan Rudez,2912,@
,Away,,,,,,,,,,,,,,,#VALUE!,Nicolas Brussino,59353,@
,Away,,,,,,,,,,,,,,,#VALUE!,Alan Anderson,939,@
,Away,,,,,,,,,,,,,,,#VALUE!,Andrew Nicholson,10813,@
,Away,,,,,,,,,,,,,,,#VALUE!,Nick Collison,292,@
,Away,,,,,,,,,,,,,,,#VALUE!,DeAndre' Bembry,49891,@
,Away,,,,,,,,,,,,,,,#VALUE!,Henry Ellenson,54842,@
,Away,,,,,,,,,,,,,,,#VALUE!,James Young,24681,@
,Away,,,,,,,,,,,,,,,#VALUE!,Treveon Graham,31269,@
,Away,,,,,,,,,,,,,,,#VALUE!,Anderson Varejao,251,@
,Away,,,,,,,,,,,,,,,#VALUE!,Joel Bolomboy,45041,@
,Away,,,,,,,,,,,,,,,#VALUE!,Mike Miller,186,@
,Away,,,,,,,,,,,,,,,#VALUE!,John Jenkins,2377,@
,Away,,,,,,,,,,,,,,,#VALUE!,Kyle Wiltjer,24155,@
,Away,,,,,,,,,,,,,,,#VALUE!,Deyonta Davis,73162,@
,Away,,,,,,,,,,,,,,,#VALUE!,Jordan Hill,1603,@
,Away,,,,,,,,,,,,,,,#VALUE!,Alonzo Gee,1657,@
,Away,,,,,,,,,,,,,,,#VALUE!,Stephen Zimmerman Jr.,54846,@
,Away,,,,,,,,,,,,,,,#VALUE!,Cole Aldrich,2159,@
,Away,,,,,,,,,,,,,,,#VALUE!,Udonis Haslem,682,@
,Away,,,,,,,,,,,,,,,#VALUE!,Diamond Stone,41493,@
,Away,,,,,,,,,,,,,,,#VALUE!,Sheldon McClellan,24189,@
,Away,,,,,,,,,,,,,,,#VALUE!,Joel Anthony,789,@
,Away,,,,,,,,,,,,,,,#VALUE!,Georges Niang,42429,@
,Away,,,,,,,,,,,,,,,#VALUE!,Manny Harris,2279,@
,Away,,,,,,,,,,,,,,,#VALUE!,Daniel Ochefu,24260,@
,Away,,,,,,,,,,,,,,,#VALUE!,Ryan Kelly,2193,@
,Away,,,,,,,,,,,,,,,#VALUE!,Chris McCullough,41445,@
,Away,,,,,,,,,,,,,,,#VALUE!,Joe Young,22869,@
,Away,,,,,,,,,,,,,,,#VALUE!,Larry Sanders,2198,@
,Away,,,,,,,,,,,,,,,#VALUE!,Lamar Patterson,6235,@
,Away,,,,,,,,,,,,,,,#VALUE!,A.J. Hammons,24294,@
,Away,,,,,,,,,,,,,,,#VALUE!,Bruno Caboclo,59172,@
,Away,,,,,,,,,,,,,,,#VALUE!,Ronnie Price,886,@
,Away,,,,,,,,,,,,,,,#VALUE!,Cheick Diallo,49975,@
,Away,,,,,,,,,,,,,,,#VALUE!,C.J. Wilcox,6964,@
,Away,,,,,,,,,,,,,,,#VALUE!,Jarrett Jack,366,@
,Away,,,,,,,,,,,,,,,#VALUE!,Aaron Harrison,24309,@
,Away,,,,,,,,,,,,,,,#VALUE!,Danuel House,24662,@
,Away,,,,,,,,,,,,,,,#VALUE!,Arinze Onuaku,2316,@
,Away,,,,,,,,,,,,,,,#VALUE!,Michael Gbinije,24168,@
,Away,,,,,,,,,,,,,,,#VALUE!,John Lucas,361,@
,Away,,,,,,,,,,,,,,,#VALUE!,Isaiah Taylor,56862,@
,Away,,,,,,,,,,,,,,,#VALUE!,Axel Toupane,25855,@
,Away,,,,,,,,,,,,,,,#VALUE!,Steve Novak,97,@
,Away,,,,,,,,,,,,,,,#VALUE!,Ben Bentil,80300,@
,Away,,,,,,,,,,,,,,,#VALUE!,Gary Neal,10568,@
,Away,,,,,,,,,,,,,,,#VALUE!,Elijah Millsap,8158,@
,Away,,,,,,,,,,,,,,,#VALUE!,Patricio Garino,24744,@
,Away,,,,,,,,,,,,,,,#VALUE!,Georgios Papagiannis,32198,@
,Away,,,,,,,,,,,,,,,#VALUE!,Chris Bosh,451,@
,Away,,,,,,,,,,,,,,,#VALUE!,Festus Ezeli,5962,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
